CustomerID,Age,EmploymentStatus,AnnualIncomeUSD,FICOScore,LatePayments12M,MaxDaysPastDue12M,MonthsSinceLastDelinquency,AccountTenureMonths,UtilizationRatePct,PaymentHistoryScore,DefaultNext12M
IND0000109,45,Employed_FT,91098,637,0,0,125,125,53.9,77,0
IND0000110,40,Unemployed,8720,695,0,0,61,61,38.5,87,0
IND0000111,18,Employed_FT,50451,643,0,0,2,2,44.5,80,0
IND0000112,41,Employed_FT,28050,635,0,0,139,139,24.9,88,0
IND0000113,42,Self_Employed,41547,811,0,0,152,152,4.5,100,0
IND0000114,75,Employed_PT,47320,729,0,0,166,166,42.7,80,0
IND0000115,38,Employed_FT,89845,502,10,108,0,33,46.3,29,1
IND0000116,45,Employed_FT,90646,738,0,0,211,211,29.2,100,0
IND0000117,41,Employed_FT,96049,746,0,0,65,65,15.1,99,0
IND0000118,25,Employed_PT,27890,592,6,58,0,19,37.1,58,0
IND0000119,57,Employed_FT,63512,743,0,0,232,232,33.3,95,0
IND0000120,52,Retired,45207,673,0,0,162,162,37.7,100,0
IND0000121,52,Employed_FT,118193,775,0,0,162,162,13.9,100,0
IND0000122,28,Employed_FT,63309,677,1,9,33,33,17.5,89,0
IND0000123,61,Employed_FT,142586,814,0,0,282,282,12.4,100,0
IND0000124,21,Student,12054,663,0,0,14,14,31.3,85,0
IND0000125,49,Employed_PT,22605,735,0,0,92,92,20.6,95,1
IND0000126,72,Contract,55775,630,0,0,28,28,38.7,79,0
IND0000127,27,Employed_FT,59198,604,2,31,4,4,28.8,66,0
IND0000128,33,Student,15625,748,0,0,27,27,10.7,96,0
IND0000129,42,Contract,119815,786,0,0,187,187,13.1,98,0
IND0000130,34,Employed_FT,79870,574,4,53,0,20,40.5,47,1
IND0000131,19,Employed_FT,30062,675,2,39,6,6,18,80,0
IND0000132,42,Employed_FT,125883,627,3,60,6,54,42.2,73,0
IND0000133,26,Self_Employed,11411,523,7,12,15,24,49.7,45,0
IND0000134,48,Employed_FT,185746,747,0,0,34,34,15.5,97,0
IND0000135,28,Self_Employed,60672,773,0,0,92,92,5.8,100,0
IND0000136,63,Employed_FT,72435,721,0,0,252,252,22.6,100,0
IND0000137,30,Contract,43678,651,0,0,20,20,44,77,0
IND0000138,36,Contract,63291,726,0,0,55,55,17.8,89,0
IND0000139,52,Employed_FT,67884,674,0,0,118,118,30.1,83,0
IND0000140,24,Employed_FT,56901,655,2,20,12,12,17.5,79,0
IND0000141,44,Employed_FT,138393,765,0,0,42,42,22.7,100,0
IND0000142,59,Self_Employed,90371,448,8,178,5,123,58.2,14,1
IND0000143,18,Student,8171,690,1,48,3,3,30.2,85,0
IND0000144,44,Self_Employed,96163,612,0,0,161,161,49.6,71,0
IND0000145,45,Employed_FT,96235,776,0,0,217,217,7.7,100,0
IND0000146,52,Employed_FT,51668,671,0,0,51,51,45.4,85,0
IND0000147,24,Employed_FT,73319,597,0,0,37,37,50.1,71,0
IND0000148,23,Employed_FT,57470,683,0,0,13,13,29.8,77,0
IND0000149,48,Employed_PT,31339,724,0,0,206,206,31.7,96,0
IND0000150,45,Student,12243,593,0,0,88,88,47.2,73,1
IND0000151,45,Employed_FT,19889,612,0,0,40,40,39.7,73,0
IND0000152,46,Employed_FT,52404,678,1,12,20,117,24.3,78,0
IND0000153,31,Employed_FT,74582,594,0,0,17,17,21.1,74,0
IND0000154,44,Self_Employed,63813,543,6,58,0,164,60.3,45,1
IND0000155,45,Employed_FT,38143,661,0,0,16,16,26.9,93,1
IND0000156,31,Self_Employed,106450,631,0,0,53,53,59,69,0
IND0000157,67,Employed_PT,34183,710,0,0,84,84,35.4,81,0
IND0000158,48,Employed_FT,45936,781,1,18,54,136,13.3,100,0
IND0000159,24,Employed_PT,84743,657,0,0,26,26,30.8,84,0
IND0000160,50,Employed_FT,43819,645,1,29,33,82,28.8,79,0
IND0000161,27,Employed_FT,107762,825,0,0,54,54,0.5,100,0
IND0000162,52,Employed_FT,44210,584,0,0,60,60,53.5,74,0
IND0000163,57,Employed_FT,87002,780,0,0,150,150,25,100,0
IND0000164,30,Employed_FT,44938,768,0,0,40,40,24,100,0
IND0000165,54,Employed_FT,44454,738,0,0,26,26,29,100,0
IND0000166,47,Employed_FT,98055,791,0,0,177,177,4.7,100,0
IND0000167,53,Employed_FT,87424,717,0,0,75,75,24.5,100,0
IND0000168,68,Employed_FT,122709,699,0,0,65,65,35.7,85,0
IND0000169,38,Unemployed,12936,735,0,0,116,116,35.7,97,0
IND0000170,30,Employed_FT,184310,781,0,0,22,22,14.1,93,0
IND0000171,29,Employed_FT,75810,727,0,0,81,81,14.6,100,0
IND0000172,30,Employed_FT,78545,682,0,0,55,55,24.7,84,0
IND0000173,40,Contract,22049,635,0,0,56,56,43,85,0
IND0000174,46,Self_Employed,51395,699,0,0,105,105,29.4,97,0
IND0000175,45,Employed_FT,93335,756,0,0,129,129,19.1,100,0
IND0000176,53,Employed_FT,75555,764,0,0,131,131,20,100,0
IND0000177,41,Employed_FT,68217,672,0,0,131,131,32.8,84,0
IND0000178,61,Employed_FT,53233,706,0,0,176,176,33.2,98,0
IND0000179,37,Unemployed,11095,543,5,28,0,49,45,49,0
IND0000180,79,Employed_PT,47764,758,0,0,218,218,28.4,100,0
IND0000181,50,Employed_FT,37768,696,0,0,47,47,18,77,0
IND0000182,29,Employed_FT,86888,789,0,0,35,35,0.9,100,0
IND0000183,26,Employed_FT,24411,537,5,30,10,27,53.3,57,1
IND0000184,48,Employed_FT,82598,773,0,0,156,156,3.2,100,0
IND0000185,38,Contract,134497,740,0,0,111,111,24.8,100,0
IND0000186,51,Employed_FT,87845,659,0,0,154,154,41.6,91,0
IND0000187,48,Employed_FT,99535,738,0,0,99,99,36.4,100,0
IND0000188,40,Employed_FT,40916,650,0,0,8,8,49.6,74,0
IND0000189,29,Contract,131962,729,0,0,29,29,7.5,90,0
IND0000190,20,Employed_FT,101697,683,0,0,5,5,11.1,91,0
IND0000191,35,Employed_FT,36163,577,0,0,28,28,59.4,70,0
IND0000192,53,Employed_FT,51855,639,0,0,292,292,49.2,89,0
IND0000193,44,Employed_FT,112504,687,0,0,238,238,36.4,84,0
IND0000194,24,Student,41202,749,0,0,12,12,16.7,100,0
IND0000195,43,Employed_FT,41089,770,0,0,169,169,12.6,100,0
IND0000196,46,Employed_FT,50677,796,0,0,204,204,0,100,0
IND0000197,29,Employed_FT,66527,802,0,0,21,21,0,100,0
IND0000198,43,Employed_PT,10455,655,0,0,222,222,27.6,89,0
IND0000199,42,Employed_FT,65216,668,0,0,68,68,25.3,83,0
IND0000200,25,Employed_FT,95587,591,5,13,1,25,71.5,50,0
IND0000201,46,Self_Employed,28747,622,0,0,165,165,41.1,82,0
IND0000202,49,Self_Employed,66733,565,0,0,29,29,53.3,65,0
IND0000203,56,Employed_PT,26533,668,1,16,31,94,30.3,82,0
IND0000204,56,Unemployed,31353,554,0,0,74,74,63.4,61,0
IND0000205,22,Employed_PT,21076,642,2,16,4,10,33,84,0
IND0000206,28,Employed_FT,146173,788,0,0,50,50,0.9,100,0
IND0000207,48,Student,10827,648,0,0,192,192,56.3,80,0
IND0000208,48,Employed_FT,98933,703,0,0,134,134,49.6,89,0
IND0000209,48,Self_Employed,94055,724,0,0,114,114,10.9,100,0
IND0000210,85,Employed_FT,82823,743,0,0,41,41,2.3,97,0
IND0000211,49,Employed_FT,49799,718,0,0,81,81,14.3,96,0
IND0000212,57,Employed_FT,81031,692,0,0,201,201,25.6,93,0
IND0000213,54,Employed_PT,27512,659,0,0,102,102,31.3,82,0
IND0000214,50,Contract,33223,638,0,0,61,61,39.3,75,1
IND0000215,37,Self_Employed,180561,733,0,0,105,105,35.3,95,0
IND0000216,52,Employed_FT,75653,594,0,0,73,73,52,61,0
IND0000217,30,Employed_FT,89204,759,0,0,28,28,19.5,88,0
IND0000218,38,Employed_FT,46715,590,0,0,16,16,35.9,67,0
IND0000219,34,Employed_FT,63136,744,0,0,77,77,8,100,0
IND0000220,42,Employed_FT,56868,702,0,0,113,113,9.5,100,0
IND0000221,73,Contract,65528,640,0,0,11,11,53.1,77,0
IND0000222,18,Employed_FT,78354,674,0,0,2,2,40.2,92,0
IND0000223,51,Self_Employed,81150,756,0,0,33,33,7.7,99,0
IND0000224,18,Employed_PT,17561,639,0,0,2,2,45.6,88,0
IND0000225,34,Employed_FT,94353,734,0,0,25,25,37.1,94,0
IND0000226,56,Retired,35888,381,12,47,0,49,75.4,16,1
IND0000227,42,Employed_FT,30191,615,0,0,158,158,52.5,78,1
IND0000228,26,Employed_FT,25619,756,0,0,28,28,17.2,100,0
IND0000229,31,Employed_FT,68242,670,0,0,14,14,31,84,0
IND0000230,51,Contract,28295,590,0,0,58,58,43.5,69,0
IND0000231,31,Unemployed,13608,621,0,0,94,94,64.8,82,0
IND0000232,44,Employed_FT,42951,565,4,58,0,67,49.3,55,0
IND0000233,42,Unemployed,12959,661,0,0,142,142,42.3,75,0
IND0000234,32,Employed_FT,49958,671,0,0,14,14,8.7,87,0
IND0000235,71,Retired,109023,751,0,0,98,98,6.8,86,0
IND0000236,50,Contract,89510,696,1,18,28,157,35,79,0
IND0000237,18,Unemployed,26295,756,0,0,5,5,6.2,100,0
IND0000238,44,Self_Employed,76129,709,0,0,102,102,22.7,98,0
IND0000239,32,Self_Employed,113502,740,0,0,39,39,21,89,0
IND0000240,53,Contract,64385,772,0,0,229,229,0,100,0
IND0000241,30,Employed_PT,59826,681,0,0,44,44,32,75,1
IND0000242,39,Unemployed,10058,587,0,0,68,68,76.7,54,1
IND0000243,48,Self_Employed,36026,762,0,0,58,58,12,95,0
IND0000244,53,Student,5520,679,0,0,128,128,32.7,88,0
IND0000245,24,Retired,76654,681,0,0,26,26,43.4,83,0
IND0000246,36,Employed_FT,73608,606,3,51,17,49,32.6,68,1
IND0000247,34,Contract,60826,642,0,0,52,52,33.3,78,0
IND0000248,32,Employed_FT,130784,781,1,20,44,106,0,97,0
IND0000249,66,Retired,24796,758,0,0,47,47,25.2,99,0
IND0000250,47,Self_Employed,63988,762,0,0,109,109,19.9,100,0
IND0000251,23,Employed_FT,56020,713,0,0,14,14,0.4,89,0
IND0000252,54,Employed_FT,105387,787,0,0,154,154,4.5,100,0
IND0000253,71,Self_Employed,56968,704,0,0,174,174,27.4,93,0
IND0000254,55,Employed_FT,41055,674,0,0,87,87,45.5,90,0
IND0000255,20,Employed_PT,17066,750,0,0,11,11,5.7,96,0
IND0000256,34,Unemployed,22099,663,0,0,24,24,33.9,77,0
IND0000257,59,Employed_FT,54655,769,0,0,160,160,1,100,0
IND0000258,31,Employed_FT,43929,576,4,73,0,9,31.8,51,0
IND0000259,47,Employed_FT,84856,669,0,0,122,122,44.1,82,0
IND0000260,52,Employed_FT,50188,656,0,0,188,188,28.3,95,0
IND0000261,28,Self_Employed,21336,593,2,28,14,28,52.2,51,0
IND0000262,40,Contract,22689,745,0,0,77,77,6.7,94,0
IND0000263,18,Employed_PT,23165,440,9,101,2,2,63.4,22,1
IND0000264,27,Contract,60548,714,0,0,66,66,17,100,0
IND0000265,37,Employed_FT,58907,692,0,0,95,95,37.2,84,0
IND0000266,24,Employed_FT,58718,475,7,84,2,26,54.7,33,1
IND0000267,64,Self_Employed,29702,665,0,0,169,169,36.4,96,0
IND0000268,21,Employed_FT,29012,675,0,0,12,12,34.8,82,0
IND0000269,35,Self_Employed,250000,741,0,0,44,44,6.3,91,0
IND0000270,43,Employed_FT,113188,688,1,40,29,97,23.1,81,0
IND0000271,61,Employed_FT,112650,767,0,0,147,147,20.7,97,0
IND0000272,21,Student,9002,653,0,0,17,17,35.3,86,0
IND0000273,57,Employed_FT,65362,689,0,0,163,163,24.6,100,0
IND0000274,41,Self_Employed,72202,673,0,0,22,22,24.7,91,0
IND0000275,27,Employed_FT,117507,775,0,0,51,51,0,100,0
IND0000276,47,Employed_PT,38341,669,0,0,36,36,26.6,86,0
IND0000277,44,Employed_FT,80593,655,0,0,84,84,37,78,0
IND0000278,33,Employed_FT,53695,526,6,84,9,112,43,37,1
IND0000279,42,Employed_FT,91055,617,0,0,108,108,55.5,68,0
IND0000280,36,Employed_FT,83549,738,0,0,23,23,2.1,100,0
IND0000281,43,Unemployed,13316,741,0,0,118,118,29.3,93,0
IND0000282,50,Employed_FT,44411,620,0,0,81,81,38.4,76,0
IND0000283,63,Employed_FT,67469,632,3,44,22,206,36.8,74,1
IND0000284,24,Contract,25567,687,0,0,32,32,47.9,83,0
IND0000285,71,Retired,43667,589,2,14,12,90,48.6,66,0
IND0000286,18,Student,12485,600,0,0,4,4,53.6,70,0
IND0000287,39,Employed_FT,25028,798,0,0,53,53,1.5,100,0
IND0000288,49,Employed_PT,28483,656,0,0,163,163,26.7,85,0
IND0000289,45,Retired,26814,752,0,0,197,197,24.2,100,0
IND0000290,32,Unemployed,17353,760,0,0,120,120,23.5,98,0
IND0000291,38,Employed_FT,79362,684,0,0,112,112,24,86,0
IND0000292,34,Retired,28973,637,0,0,71,71,52.2,80,0
IND0000293,33,Employed_FT,77099,665,0,0,31,31,21.9,92,0
IND0000294,53,Employed_FT,82884,647,0,0,112,112,55.9,86,0
IND0000295,46,Contract,46439,702,0,0,117,117,11.8,95,0
IND0000296,31,Employed_FT,119252,676,0,0,40,40,29.8,88,0
IND0000297,54,Employed_FT,53329,696,0,0,45,45,30,94,0
IND0000298,45,Employed_FT,149893,804,0,0,85,85,1.7,100,0
IND0000299,52,Employed_FT,69015,750,0,0,81,81,15.1,100,0
IND0000300,50,Employed_PT,23561,761,0,0,46,46,20.3,100,0
IND0000301,29,Self_Employed,43100,469,7,180,0,30,55.8,28,1
IND0000302,33,Employed_FT,39459,684,0,0,18,18,37.6,86,0
IND0000303,51,Employed_FT,118248,789,0,0,155,155,12.2,100,0
IND0000304,50,Unemployed,5000,322,12,170,0,69,57.1,0,1
IND0000305,41,Contract,115823,744,0,0,75,75,32.2,94,0
IND0000306,43,Employed_FT,42848,657,1,19,30,116,26.2,74,0
IND0000307,59,Retired,60593,642,0,0,69,69,59.9,77,0
IND0000308,33,Employed_PT,33422,711,0,0,89,89,10.2,100,0
IND0000309,49,Employed_FT,92510,830,0,0,54,54,0,100,0
IND0000310,38,Employed_FT,53125,777,0,0,127,127,15.5,92,0
IND0000311,38,Employed_FT,72406,634,0,0,99,99,44.7,86,0
IND0000312,56,Employed_PT,34601,643,0,0,8,8,38.4,78,0
IND0000313,53,Employed_FT,37290,700,0,0,53,53,27.9,87,0
IND0000314,52,Employed_FT,49804,757,0,0,103,103,19.8,96,0
IND0000315,59,Employed_FT,55482,652,0,0,149,149,28.1,95,0
IND0000316,41,Unemployed,7461,611,0,0,174,174,62.1,80,0
IND0000317,51,Employed_FT,162948,850,0,0,173,173,0,100,0
IND0000318,37,Unemployed,13149,738,0,0,58,58,14,100,0
IND0000319,46,Unemployed,8785,749,0,0,183,183,19.5,100,0
IND0000320,39,Employed_FT,44731,583,0,0,80,80,64.7,60,1
IND0000321,42,Employed_FT,48923,658,0,0,13,13,37.5,72,0
IND0000322,49,Employed_FT,61089,682,0,0,127,127,31.4,90,0
IND0000323,30,Unemployed,5309,601,0,0,5,5,50.6,71,0
IND0000324,70,Retired,39376,780,0,0,81,81,10.1,100,0
IND0000325,27,Employed_FT,96385,786,0,0,31,31,0,99,0
IND0000326,24,Employed_FT,59751,640,0,0,35,35,44.3,83,0
IND0000327,57,Employed_FT,81087,830,0,0,211,211,0,100,0
IND0000328,52,Unemployed,13008,656,0,0,199,199,52.1,91,0
IND0000329,50,Self_Employed,94321,850,0,0,104,104,0,100,0
IND0000330,50,Contract,48331,701,0,0,125,125,21.4,97,0
IND0000331,41,Employed_FT,87490,705,0,0,25,25,28.2,91,0
IND0000332,28,Employed_FT,83854,766,0,0,45,45,11.3,100,0
IND0000333,42,Retired,22713,790,0,0,71,71,9.5,100,0
IND0000334,32,Employed_FT,60971,706,0,0,20,20,33.9,85,0
IND0000335,55,Unemployed,5291,684,0,0,75,75,43.6,99,0
IND0000336,39,Employed_FT,90465,742,0,0,50,50,22.8,90,0
IND0000337,29,Employed_FT,78318,568,0,0,89,89,61.8,71,0
IND0000338,37,Self_Employed,48259,679,0,0,87,87,16.9,86,0
IND0000339,47,Retired,35601,538,4,129,4,176,47.1,47,1
IND0000340,33,Student,5000,563,0,0,26,26,75.4,69,0
IND0000341,29,Employed_FT,93666,716,0,0,54,54,4.3,86,0
IND0000342,44,Employed_FT,104274,793,0,0,82,82,0,100,0
IND0000343,44,Self_Employed,157303,786,0,0,146,146,3.6,100,0
IND0000344,34,Self_Employed,162482,712,0,0,29,29,46.5,74,0
IND0000345,34,Employed_PT,19820,800,0,0,56,56,16.6,100,0
IND0000346,44,Employed_FT,94081,662,0,0,110,110,48.4,84,0
IND0000347,21,Contract,81206,486,5,82,0,3,69,42,1
IND0000348,21,Employed_FT,23260,362,12,147,1,9,67.8,5,1
IND0000349,31,Contract,37967,479,3,69,0,14,60.9,54,1
IND0000350,38,Employed_FT,59073,716,0,0,35,35,16,88,0
IND0000351,45,Employed_FT,92721,664,0,0,64,64,32.6,86,0
IND0000352,62,Retired,16445,738,0,0,143,143,39,100,0
IND0000353,53,Self_Employed,250000,850,0,0,274,274,2.4,100,0
IND0000354,39,Contract,41815,549,5,30,0,132,52.5,50,0
IND0000355,41,Student,26221,690,0,0,154,154,45.8,94,0
IND0000356,27,Self_Employed,64988,710,0,0,16,16,20.2,92,0
IND0000357,41,Employed_FT,74932,609,0,0,60,60,50.1,88,0
IND0000358,37,Employed_FT,25649,790,0,0,188,188,5.3,100,0
IND0000359,46,Employed_FT,55301,677,0,0,235,235,35.4,89,0
IND0000360,29,Employed_FT,84780,628,0,0,48,48,53.2,73,0
IND0000361,48,Employed_FT,96450,836,0,0,160,160,0,100,0
IND0000362,62,Employed_FT,37804,760,0,0,147,147,22,100,0
IND0000363,39,Employed_FT,72799,768,0,0,54,54,10.9,100,0
IND0000364,47,Employed_FT,53969,775,0,0,136,136,21.7,100,0
IND0000365,51,Employed_FT,43597,609,1,9,23,182,55.1,81,0
IND0000366,35,Employed_FT,35889,756,0,0,55,55,15.9,96,0
IND0000367,44,Employed_FT,83903,646,2,19,31,76,31.8,76,1
IND0000368,41,Self_Employed,130146,681,0,0,113,113,27.4,95,0
IND0000369,42,Employed_FT,166475,721,0,0,45,45,26.8,99,0
IND0000370,30,Employed_FT,29331,632,0,0,64,64,31,84,0
IND0000371,41,Self_Employed,121262,725,0,0,73,73,24.5,93,0
IND0000372,48,Contract,85673,728,0,0,162,162,4.9,100,0
IND0000373,61,Employed_FT,54610,664,0,0,145,145,34.6,86,0
IND0000374,54,Self_Employed,47357,751,0,0,48,48,14.4,100,0
IND0000375,71,Contract,32582,634,4,95,15,176,42.1,66,0
IND0000376,30,Contract,33749,645,2,17,17,17,41.2,77,0
IND0000377,53,Employed_FT,77974,705,0,0,124,124,19.1,95,0
IND0000378,44,Self_Employed,170368,741,0,0,165,165,20.5,100,0
IND0000379,72,Retired,83727,715,0,0,33,33,28.5,93,0
IND0000380,30,Self_Employed,23872,612,2,24,8,8,36.6,71,0
IND0000381,29,Retired,28252,756,0,0,43,43,0,91,0
IND0000382,33,Employed_FT,108662,703,0,0,42,42,33.1,84,0
IND0000383,18,Unemployed,6177,625,2,37,3,4,32,72,1
IND0000384,34,Employed_FT,52474,607,0,0,79,79,50.7,74,0
IND0000385,30,Retired,19098,739,0,0,58,58,30.3,98,0
IND0000386,43,Self_Employed,142864,728,0,0,90,90,31.5,90,0
IND0000387,46,Employed_FT,29227,709,0,0,170,170,26.8,93,0
IND0000388,67,Retired,25200,773,0,0,137,137,1.9,100,0
IND0000389,54,Employed_FT,109054,684,0,0,43,43,34.5,90,0
IND0000390,33,Employed_FT,128026,602,0,0,40,40,46.1,73,0
IND0000391,28,Contract,39427,688,0,0,43,43,38,85,0
IND0000392,48,Employed_FT,69245,663,3,35,31,178,21.6,85,0
